# Interface data for t = 10.600000
# Method: dalziel
# Grid: 160×200
# ANALYSIS VALIDITY SUMMARY
# Overall Status: VALID
# Cells across mixing layer: 120.0
0.0012500,0.2879610 0.0045925,0.2895925
0.0001942,0.2851942 0.0020582,0.2887500
0.0024816,0.2899816 0.0024914,0.2900086
0.0024833,0.2899833 0.0028911,0.2912500
0.0020582,0.2887500 0.0024910,0.2900090
0.0037500,0.2921090 0.0004668,0.2904668
0.0045316,0.2945316 0.0028911,0.2912500
0.0053195,0.2921805 0.0037500,0.2921090
0.0062500,0.2922461 0.0046806,0.2921806
0.0052938,0.2922062 0.0046500,0.2921500
0.0076081,0.2923919 0.0062500,0.2922461
0.0087500,0.2925122 0.0073887,0.2923887
0.0075928,0.2924072 0.0073659,0.2923659
0.0110723,0.2462500 0.0127124,0.2422876
0.0109900,0.2487500 0.0110304,0.2464696
0.0109945,0.2484945 0.0110689,0.2464311
0.0110304,0.2485304 0.0110723,0.2462500
0.0112500,0.2500293 0.0116728,0.2516728
0.0109751,0.2509751 0.0109900,0.2487500
0.0103994,0.2687500 0.0124147,0.2650853
0.0080237,0.2694763 0.0112500,0.2679399
0.0099720,0.2712500 0.0101486,0.2698514
0.0101153,0.2701153 0.0102186,0.2697814
0.0101534,0.2701534 0.0103994,0.2687500
0.0109223,0.2737500 0.0103151,0.2721849
0.0107146,0.2732146 0.0102095,0.2722905
0.0103334,0.2728334 0.0099720,0.2712500
0.0110035,0.2762500 0.0109813,0.2740187
0.0110011,0.2760011 0.0109253,0.2740747
0.0109429,0.2759429 0.0109223,0.2737500
0.0110430,0.2787500 0.0110055,0.2764945
0.0110395,0.2785395 0.0110076,0.2764924
0.0110418,0.2785418 0.0110035,0.2762500
0.0109565,0.2812500 0.0111067,0.2788933
0.0109741,0.2809741 0.0110299,0.2789701
0.0109141,0.2809141 0.0110430,0.2787500
0.0112500,0.2815613 0.0067974,0.2792974
0.0125701,0.2850701 0.0109565,0.2812500
0.0087500,0.2925122 0.0112849,0.2937849
0.0087183,0.2912183 0.0099870,0.2937500
0.0112500,0.2950001 0.0087675,0.2937675
0.0112843,0.2962843 0.0099870,0.2937500
0.0112500,0.2460353 0.0131171,0.2456171
0.0115267,0.2459733 0.0133440,0.2458440
0.0108102,0.2466898 0.0137500,0.2457085
0.0137500,0.2491958 0.0122001,0.2497001
0.0130892,0.2494108 0.0118766,0.2493766
0.0125271,0.2662500 0.0132473,0.2642527
0.0125271,0.2662500 0.0117495,0.2682505
0.0116404,0.2762500 0.0091295,0.2783705
0.0122440,0.2752560 0.0137500,0.2753344
0.0117213,0.2767213 0.0116717,0.2783283
0.0110192,0.2760192 0.0117909,0.2787500
0.0116404,0.2762500 0.0119494,0.2780506
0.0118010,0.2793010 0.0118888,0.2806112
0.0118683,0.2793683 0.0118993,0.2812500
0.0117909,0.2787500 0.0118260,0.2806740
0.0144869,0.2805131 0.0112500,0.2815613
0.0118993,0.2812500 0.0161806,0.2788194
0.0126519,0.2948481 0.0112500,0.2950001
0.0137500,0.2946567 0.0123491,0.2948491
0.0126989,0.2948011 0.0123778,0.2948778
0.0125515,0.3262500 0.0132650,0.3242350
0.0118090,0.3256910 0.0137500,0.3250916
0.0137500,0.3274085 0.0111537,0.3261537
0.0140459,0.3290459 0.0125515,0.3262500
0.0120480,0.2420480 0.0142224,0.2462500
0.0141312,0.2466312 0.0141312,0.2483688
0.0143733,0.2468733 0.0140695,0.2487500
0.0142224,0.2462500 0.0135842,0.2489158
0.0140695,0.2487500 0.0125411,0.2524589
0.0145308,0.2637500 0.0157136,0.2617864
0.0170813,0.2629187 0.0137500,0.2645542
0.0145308,0.2637500 0.0131386,0.2668614
0.0152987,0.2687500 0.0165794,0.2659206
0.0128944,0.2696056 0.0162500,0.2677288
0.0160206,0.2710206 0.0152987,0.2687500
0.0137500,0.2753344 0.0157533,0.2757533
0.0166504,0.2766504 0.0159092,0.2762500
0.0149062,0.2774062 0.0148428,0.2776572
0.0149385,0.2774385 0.0143645,0.2787500
0.0159092,0.2762500 0.0136794,0.2788206
0.0145140,0.2795140 0.0145266,0.2804734
0.0140996,0.2790996 0.0147679,0.2812500
0.0143645,0.2787500 0.0146731,0.2803269
0.0162500,0.2820778 0.0139299,0.2814299
0.0155743,0.2944257 0.0137500,0.2946567
0.0162500,0.2941165 0.0144257,0.2944257
0.0158087,0.2941913 0.0145548,0.2945548
0.0137500,0.3250916 0.0164331,0.3264331
0.0135669,0.3235669 0.0149084,0.3262500
0.0155004,0.3269996 0.0137500,0.3274085
0.0149084,0.3262500 0.0144997,0.3280003
0.0183328,0.2587500 0.0204156,0.2545844
0.0145844,0.2604156 0.0187500,0.2583328
0.0166770,0.2612500 0.0175086,0.2599914
0.0175018,0.2600018 0.0175088,0.2599912
0.0175018,0.2600018 0.0183328,0.2587500
0.0203962,0.2596038 0.0162500,0.2616770
0.0166770,0.2612500 0.0146041,0.2653959
0.0162500,0.2677288 0.0192898,0.2692898
0.0159114,0.2659114 0.0172407,0.2687500
0.0172407,0.2687500 0.0165217,0.2709783
0.0164605,0.2762500 0.0156207,0.2768793
0.0170320,0.2754680 0.0187500,0.2750048
0.0187500,0.2774952 0.0170265,0.2770265
0.0156286,0.2756286 0.0164605,0.2762500
0.0162500,0.2820778 0.0184053,0.2834053
0.0168471,0.2818471 0.0178066,0.2837500
0.0188956,0.2863956 0.0178066,0.2837500
0.0185426,0.2939574 0.0162500,0.2941165
0.0187500,0.2937727 0.0164574,0.2939574
0.0187254,0.2937746 0.0165927,0.2940927
0.0162675,0.3287500 0.0162143,0.3287857
0.0170764,0.3279236 0.0187500,0.3275034
0.0187500,0.3299967 0.0172763,0.3297763
0.0161893,0.3286893 0.0162675,0.3287500
0.0201706,0.2562500 0.0205979,0.2544021
0.0215254,0.2534746 0.0212500,0.2539285
0.0201706,0.2562500 0.0194228,0.2580772
0.0200095,0.2687500 0.0204625,0.2670375
0.0222626,0.2652374 0.0212500,0.2665233
0.0199750,0.2699750 0.0199743,0.2700257
0.0199757,0.2699757 0.0199408,0.2712500
0.0200095,0.2687500 0.0199736,0.2700264
0.0207110,0.2732110 0.0199408,0.2712500
0.0187500,0.2750048 0.0205498,0.2755498
0.0192350,0.2742350 0.0201306,0.2762500
0.0205081,0.2769919 0.0187500,0.2774952
0.0201306,0.2762500 0.0192994,0.2782006
0.0188804,0.2838804 0.0197933,0.2862500
0.0212500,0.2875395 0.0190360,0.2865360
0.0216619,0.2891619 0.0197933,0.2862500
0.0188733,0.2937500 0.0187245,0.2937755
0.0189429,0.2935571 0.0212500,0.2933752
0.0214780,0.2935220 0.0187500,0.2937727
0.0188733,0.2937500 0.0218531,0.2931469
0.0187500,0.3275034 0.0203948,0.3278948
0.0187500,0.3299967 0.0201207,0.3301207
0.0198139,0.3298139 0.0202415,0.3312500
0.0212500,0.3295540 0.0198139,0.3298139
0.0201207,0.3301207 0.0206408,0.3287500
0.0212747,0.3337747 0.0202415,0.3312500
0.0218581,0.2456419 0.0237500,0.2452902
0.0237500,0.2475583 0.0219334,0.2469334
0.0246297,0.2496297 0.0220269,0.2462500
0.0215243,0.2537500 0.0206724,0.2543276
0.0256477,0.2518523 0.0212500,0.2539285
0.0225016,0.2637500 0.0240514,0.2609486
0.0212471,0.2637529 0.0237500,0.2625647
0.0223737,0.2648737 0.0219085,0.2655915
0.0221978,0.2646978 0.0216954,0.2662500
0.0225016,0.2637500 0.0223412,0.2651588
0.0226567,0.2673433 0.0212500,0.2665233
0.0225013,0.2687500 0.0226567,0.2673433
0.0221939,0.2678061 0.0237500,0.2671549
0.0216954,0.2662500 0.0221939,0.2678061
0.0228800,0.2712500 0.0226657,0.2698343
0.0227248,0.2702248 0.0226411,0.2698589
0.0226818,0.2701818 0.0225013,0.2687500
0.0240023,0.2709977 0.0212500,0.2730235
0.0228800,0.2712500 0.0215989,0.2734011
0.0212500,0.2875395 0.0225337,0.2875337
0.0224660,0.2875340 0.0225334,0.2875334
0.0224663,0.2875337 0.0237500,0.2875279
0.0212500,0.2933752 0.0232783,0.2932783
0.0216436,0.2933564 0.0232132,0.2932132
0.0217217,0.2932783 0.0237500,0.2931897
