# Interface data for t = 4.999000
# Method: dalziel
0.0018750,0.5103616 0.0036610,0.5110270
0.0036610,0.5110270 0.0042792,0.5123838
0.0042792,0.5123838 0.0042739,0.5137531
0.0042739,0.5137531 0.0043178,0.5151351
0.0043178,0.5151351 0.0036969,0.5165295
0.0036969,0.5165295 0.0036956,0.5179366
0.0036956,0.5179366 0.0056187,0.5188083
0.0056187,0.5188083 0.0084929,0.5179366
0.0084929,0.5179366 0.0093499,0.5165318
0.0093499,0.5165318 0.0093517,0.5165295
0.0093517,0.5165295 0.0093499,0.5165245
0.0093499,0.5165245 0.0085375,0.5151351
0.0085375,0.5151351 0.0088866,0.5137531
0.0088866,0.5137531 0.0093499,0.5129699
0.0093499,0.5129699 0.0095292,0.5123838
0.0095292,0.5123838 0.0093499,0.5122840
0.0093499,0.5122840 0.0070761,0.5110270
0.0070761,0.5110270 0.0063234,0.5096828
0.0063234,0.5096828 0.0063087,0.5083511
0.0063087,0.5083511 0.0062901,0.5070320
0.0062901,0.5070320 0.0065813,0.5057255
0.0065813,0.5057255 0.0075324,0.5044315
0.0075324,0.5044315 0.0093499,0.5034058
0.0093499,0.5034058 0.0125890,0.5044315
0.0125890,0.5044315 0.0107715,0.5057255
0.0107715,0.5057255 0.0130685,0.5065447
0.0130685,0.5065447 0.0154441,0.5057255
0.0154441,0.5057255 0.0136679,0.5044315
0.0136679,0.5044315 0.0130685,0.5041209
0.0130685,0.5041209 0.0106518,0.5031501
0.0106518,0.5031501 0.0093499,0.5027070
0.0093499,0.5027070 0.0075877,0.5018813
0.0075877,0.5018813 0.0082605,0.5006250
0.0082605,0.5006250 0.0091739,0.4993750
0.0091739,0.4993750 0.0093499,0.4993189
0.0093499,0.4993189 0.0130685,0.4991306
0.0130685,0.4991306 0.0144525,0.4993750
0.0144525,0.4993750 0.0135056,0.5006250
0.0135056,0.5006250 0.0167745,0.5014359
0.0167745,0.5014359 0.0195801,0.5006250
0.0195801,0.5006250 0.0189078,0.4993750
0.0189078,0.4993750 0.0204680,0.4990863
0.0204680,0.4990863 0.0232943,0.4981187
0.0232943,0.4981187 0.0233721,0.4968499
0.0233721,0.4968499 0.0241489,0.4965793
0.0241489,0.4965793 0.0260891,0.4955685
0.0260891,0.4955685 0.0278172,0.4949298
0.0278172,0.4949298 0.0306222,0.4942745
0.0306222,0.4942745 0.0314730,0.4936204
0.0314730,0.4936204 0.0323296,0.4929680
0.0323296,0.4929680 0.0321633,0.4916489
0.0321633,0.4916489 0.0330917,0.4903172
0.0330917,0.4903172 0.0351162,0.4895488
0.0351162,0.4895488 0.0387469,0.4895576
0.0387469,0.4895576 0.0399151,0.4903172
0.0399151,0.4903172 0.0403868,0.4916489
0.0403868,0.4916489 0.0410479,0.4929680
0.0410479,0.4929680 0.0411841,0.4942745
0.0411841,0.4942745 0.0409883,0.4955685
0.0409883,0.4955685 0.0423649,0.4960603
0.0423649,0.4960603 0.0441473,0.4968499
0.0441473,0.4968499 0.0447935,0.4981187
0.0447935,0.4981187 0.0458064,0.4993750
0.0458064,0.4993750 0.0457934,0.5006250
0.0457934,0.5006250 0.0457847,0.5018813
0.0457847,0.5018813 0.0445124,0.5031501
0.0445124,0.5031501 0.0449867,0.5044315
0.0449867,0.5044315 0.0438085,0.5057255
0.0438085,0.5057255 0.0438087,0.5070320
0.0438087,0.5070320 0.0451648,0.5083511
0.0451648,0.5083511 0.0454129,0.5096828
0.0454129,0.5096828 0.0450319,0.5110270
0.0450319,0.5110270 0.0449790,0.5123838
0.0449790,0.5123838 0.0445710,0.5137531
0.0445710,0.5137531 0.0423649,0.5142792
0.0423649,0.5142792 0.0402304,0.5151351
0.0402304,0.5151351 0.0401990,0.5165295
0.0401990,0.5165295 0.0387469,0.5170504
0.0387469,0.5170504 0.0373216,0.5165295
0.0373216,0.5165295 0.0369670,0.5151351
0.0369670,0.5151351 0.0354938,0.5137531
0.0354938,0.5137531 0.0351162,0.5127904
0.0351162,0.5127904 0.0349843,0.5123838
0.0349843,0.5123838 0.0351162,0.5118315
0.0351162,0.5118315 0.0353356,0.5110270
0.0353356,0.5110270 0.0365738,0.5096828
0.0365738,0.5096828 0.0370785,0.5083511
0.0370785,0.5083511 0.0383224,0.5070320
0.0383224,0.5070320 0.0387411,0.5057255
0.0387411,0.5057255 0.0365886,0.5044315
